"Year","Age","n","n_preg","Smooth_preg_rate","CI95lower","CI95upper","n_estim"
1969,5,165,146,0.27330593242247,0.196607613664424,0.366283460948415,105
1970,5,107,92,0.309664738710584,0.226832010765678,0.406829514643126,101
1971,5,NA,NA,0.34394694384448,0.254241910864581,0.446358864050372,95
1972,5,NA,NA,0.375209787709602,0.278128880991138,0.48348120174586,85
1973,5,NA,NA,0.402828424165366,0.298052716308837,0.517293211425151,78
1974,5,NA,NA,0.426408157704467,0.31389751917248,0.547089610113073,70
1975,5,NA,NA,0.445741979761221,0.325751897734916,0.572407863405773,62
1976,5,NA,NA,0.460761305069933,0.33381685947009,0.593008329248184,55
1977,5,NA,NA,0.471490224945213,0.338348023754023,0.608816183012967,51
1978,5,NA,NA,0.47800875893582,0.33962386433551,0.619853710389751,48
1979,5,8,4,0.480426977495836,0.337929952251744,0.626181175404012,46
1980,5,12,9,0.478869717635969,0.333551805976158,0.627853955330413,44
1981,5,17,14,0.47347059639253,0.326771741188004,0.624897384173807,42
1982,5,3,1,0.464373679961886,0.317867030449829,0.617298430850435,42
1983,5,NA,NA,0.451741094054851,0.307107854190051,0.605013340624045,42
1984,5,NA,NA,0.435764799398291,0.294754251961862,0.587991200568294,43
1985,5,1,1,0.417053304152912,0.28178387508988,0.566077914797397,46
1986,5,11,8,0.398033224613404,0.269084201978766,0.54287950583804,48
1987,5,24,15,0.379138203976363,0.256255887078697,0.519765971280129,51
1988,5,19,14,0.360419168723158,0.243348306907052,0.496829706482352,55
1989,5,25,2,0.341926619358305,0.230362936102889,0.474228463689526,57
1990,5,10,6,0.32371009999751,0.217258292581057,0.452188751938584,60
1991,5,29,18,0.305817667959463,0.203964567547266,0.43099474777601,63
1992,5,32,21,0.288295375171079,0.190411824645397,0.41095512361023,65
1993,5,35,16,0.271186773235089,0.176570511674199,0.392345938298803,64
1994,5,40,33,0.254532453595018,0.162492287147518,0.375342027738445,63
1995,5,16,14,0.238369633371959,0.148330069175459,0.359964425798001,60
1996,5,37,24,0.222731796172365,0.134321791017843,0.346069976432824,58
1997,5,36,26,0.207648395533255,0.120743551334963,0.333385982081067,53
1998,5,36,21,0.193144626758486,0.107855585491897,0.321567944840062,51
1999,5,59,35,0.179241270800099,0.0958324260888075,0.310329520283036,48
2000,5,42,29,0.165821953836584,0.0819434339694792,0.306861227689534,41
