"","Alpha","M","K"
"Mean",0.195049532938972,0.0330485896283498,10040287.4067175
"Median",0.194921276326716,0.0330188880353604,10017332.5386478
"Sd",0.00341882514804518,0.00780641577196369,486426.466941832
"Q0.025",0.19003291531403,0.0182677831666191,9174168.41960432
"Q0.975",0.201297090004847,0.0488143775210188,11045576.5714946
